id,title,type,release_year,decade,age_certification,runtime,runtime_is_missing,seasons,imdb_score,imdb_votes,tmdb_score,tmdb_popularity,has_any_rating,primary_genre,genre_count,primary_country,country_count
ts268592,Beyblade Burst Rise,SHOW,2019,2010,Not Rated,23,0,1.0,6.0,175.0,,1.112,1,action,6,XX,1
ts216593,Taco Chronicles,SHOW,2019,2010,TV-MA,30,0,2.0,,,7.9,2.929,1,documentation,1,MX,1
ts241460,Whispers,SHOW,2020,2020,TV-PG,42,0,2.0,,,8.3,1.835,1,thriller,2,SA,1
ts88552,Go! Live Your Way,SHOW,2019,2010,TV-Y7,40,0,2.0,6.7,641.0,9.1,26.206,1,drama,4,AR,1
ts87361,Back with the Ex,SHOW,2019,2010,Not Rated,45,0,1.0,6.2,632.0,8.3,1.4,1,reality,2,AU,1
ts296153,Ashley Garcia: Genius in Love,SHOW,2020,2020,TV-PG,29,0,3.0,6.7,1211.0,7.8,11.279,1,comedy,1,US,1
tm946604,What We Wanted,MOVIE,2020,2020,Not Rated,94,0,,5.9,1808.0,6.0,4.668,1,drama,1,AT,1
tm514257,The Legacy of the Bones,MOVIE,2019,2010,Not Rated,121,0,,6.3,8876.0,6.6,11.988,1,crime,3,ES,1
tm933826,Serious Men,MOVIE,2020,2020,Not Rated,115,0,,6.8,7505.0,7.0,2.765,1,drama,2,IN,1
tm835432,Sky High,MOVIE,2020,2020,Not Rated,121,0,,5.6,3532.0,6.217,27.138,1,action,5,ES,1
tm933447,Michael McIntyre: Showman,MOVIE,2020,2020,Not Rated,62,0,,7.1,1255.0,7.7,2.023,1,comedy,1,,0
ts224164,Night on Earth,SHOW,2020,2020,TV-PG,49,0,1.0,,,7.4,10.309,1,documentation,1,GB,1
tm1147120,"The Witcher Bestiary Season 1, Part 2",MOVIE,2020,2020,Not Rated,10,0,,,,4.8,4.216,1,documentation,1,US,1
tm453098,Svaha: The Sixth Finger,MOVIE,2019,2010,Not Rated,122,0,,6.2,3947.0,6.6,12.74,1,thriller,3,KR,1
ts270465,SanPa: Sins of the Savior,SHOW,2020,2020,Not Rated,60,0,1.0,7.8,1526.0,7.6,1.775,1,documentation,3,IT,1
tm886283,Legacy of Lies,MOVIE,2020,2020,R,101,0,,5.0,3493.0,5.6,10.179,1,thriller,2,NL,5
ts214192,El Final del Paraíso,SHOW,2019,2010,TV-MA,50,0,1.0,5.1,221.0,4.0,105.774,1,drama,2,MX,1
tm920096,Definition Please,MOVIE,2020,2020,Not Rated,91,0,,5.5,168.0,1.0,1.785,1,drama,2,,0
ts250871,The Business of Drugs,SHOW,2020,2020,TV-MA,43,0,1.0,7.2,1671.0,7.0,5.588,1,documentation,2,US,1
ts252141,Alien TV,SHOW,2020,2020,TV-Y7,24,0,2.0,6.1,299.0,6.6,9.927,1,family,3,AU,1
ts87488,Malibu Rescue: The Series,SHOW,2019,2010,TV-G,24,0,1.0,5.4,993.0,7.7,12.306,1,comedy,3,US,1
ts222606,Black Dog,SHOW,2019,2010,TV-14,80,0,1.0,7.6,176.0,9.1,5.171,1,drama,2,KR,1
tm475501,Wanda Sykes: Not Normal,MOVIE,2019,2010,Not Rated,66,0,,7.2,1842.0,6.8,3.26,1,comedy,1,US,1
tm464888,Love Aaj Kal,MOVIE,2020,2020,PG-13,141,0,,6.8,16075.0,6.1,3.983,1,romance,3,IN,1
tm880059,All Day and a Night,MOVIE,2020,2020,R,121,0,,5.9,3752.0,6.2,7.586,1,drama,1,US,1
ts216744,Heroes of Goo Jit Zu,SHOW,2019,2010,TV-Y7,12,0,1.0,7.7,26.0,,,1,scifi,4,,0
ts251783,Emily's Wonder Lab,SHOW,2020,2020,Not Rated,0,1,1.0,,,9.3,3.324,1,family,1,US,1
tm933639,Wish Upon a Unicorn,MOVIE,2020,2020,PG,93,0,,5.3,183.0,7.1,22.103,1,fantasy,2,US,1
tm675171,The Black Godfather,MOVIE,2019,2010,Not Rated,118,0,,7.4,1363.0,6.8,3.454,1,documentation,2,US,1
ts314648,The Witcher: A Look Inside the Episodes,SHOW,2020,2020,Not Rated,6,0,1.0,7.1,158.0,5.3,9.73,1,documentation,1,GB,1
